time,pos,bid,score,first,trump,tricks
1539675864,0,5,0,1,D,"HA,HK,D2,H2;DA,HJ,D5,DJ;CJ,CA,C5,C6;S6,S9,S7,S2;H4,H6,S8,HQ;D4,SK,S10,SJ;D9,C10,C8,DK;D6,C3,C9,SQ"
1539675864,0,3,0,1,S,"SJ,S9,SQ,S8;S10,DA,SA,SK;CA,C5,CJ,C2;HK,DQ,H5,C6;CQ,D10,H6,C9;H7,D5,D6,C10;C8,D2,DJ,D9"
1539675864,0,4,0,1,C,"C4,S5,SQ,S4;HA,DA,H6,HQ;C10,CA,S6,C7;C5,C8,D8,C9;D5,D4,S9,SJ;H8,D2,DJ,DQ"
1539675864,0,1,0,1,H,"HA,H5,HQ,H10;C4,D9,C8,S3;C6,SA,C2,S9;CK,S7,C7,SJ;DK,S4,DA,D4"
1539675864,0,1,11,1,H,"HA,DA,D3,H7;C4,C10,D4,CJ;SJ,SA,S5,S8;SQ,D6,D9,S10"
1539675864,0,0,10,1,S,"CQ,DK,S10,S3;HJ,CA,C3,D4;D3,CJ,C7,H4"
1539675864,2,1,0,3,D,"D3,DQ,DJ,D6;D4,D7,S4,C7;H7,CK,C10,H8"
1539675864,2,2,0,3,S,"CQ,DJ,DQ,S7;CA,S9,SJ,SQ;H8,HJ,H2,H7;H6,D6,S5,HQ"
1539675864,2,3,13,3,H,"S10,S7,H4,S2;SA,CK,CA,H9;DJ,D6,DK,D9;H5,HJ,C8,DQ;H7,S5,H8,DA"
1539675864,2,0,10,3,S,"SA,S6,C10,S10;S7,S8,C9,SJ;C2,H9,C7,CK;DK,D10,C8,CA;H8,HQ,D4,H6;DA,DQ,D2,HJ"
1539675864,2,2,0,3,S,"CQ,C7,CK,C2;S4,D2,SJ,S5;S8,C9,C4,C3;S7,D3,S10,D7;D5,CJ,C10,H2;H10,H7,H9,H3;D6,D10,C8,H5"
1539675864,2,2,12,3,S,"D8,DA,DQ,D7;SA,D2,D10,S2;S4,S10,SQ,SJ;H2,HK,HA,H8;C3,C8,C2,C6;H9,H4,H5,HQ;C7,S9,C9,S6;CA,H10,D3,C4"
1539675864,2,1,0,3,H,"SQ,S5,SK,SA;C8,CK,CQ,C9;S2,C2,CJ,C10;S3,C5,C3,HK;DJ,D9,DQ,D10;S4,S8,SJ,HQ;S7,HJ,H5,H2;D5,D4,C4,H9;D8,S6,S10,H4"
1539675864,2,4,0,3,S,"S3,D4,SA,SQ;D6,D9,DQ,D3;CJ,CA,C10,C2;CK,C5,C3,C7;S5,C6,S8,S4;H9,HQ,H6,H7;D7,C8,S2,C9;H10,HK,H2,H8;DA,D10,H4,D5;HJ,DJ,S6,D8"
